route_variant,date,departure_time,train_class,number_of_coaches
FARNHAM - GUILDFORD,2026-03-11,10:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,11:10:00,450,4
FARNHAM - GUILDFORD,2026-03-11,11:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,12:10:00,450,4
FARNHAM - GUILDFORD,2026-03-11,12:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,13:10:00,450,4
FARNHAM - GUILDFORD,2026-03-11,13:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,14:10:00,450,4
FARNHAM - GUILDFORD,2026-03-11,14:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,15:10:00,450,4
FARNHAM - GUILDFORD,2026-03-11,15:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,16:10:00,450,4
FARNHAM - GUILDFORD,2026-03-11,16:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,17:10:00,450,4
